time,open,high,low,close,volume
2019-01-04 07:59:00,108.245,108.247,108.24,108.243,86.0
2019-01-04 08:00:00,108.248,108.259,108.231,108.258,123.0
2019-01-04 08:01:00,108.257,108.271,108.257,108.267,137.0
2019-01-04 08:02:00,108.267,108.272,108.265,108.266,97.0
2019-01-04 08:03:00,108.266,108.267,108.259,108.265,83.0
2019-01-04 08:04:00,108.265,108.273,108.26,108.273,67.0
2019-01-04 08:05:00,108.273,108.273,108.255,108.255,106.0
2019-01-04 08:06:00,108.255,108.258,108.218,108.218,111.0
2019-01-04 08:07:00,108.217,108.218,108.205,108.21,96.0
2019-01-04 08:08:00,108.21,108.21,108.184,108.186,98.0
2019-01-04 08:09:00,108.186,108.188,108.164,108.174,115.0
2019-01-04 08:10:00,108.172,108.175,108.157,108.175,116.0
2019-01-04 08:11:00,108.174,108.177,108.158,108.158,88.0
2019-01-04 08:12:00,108.158,108.158,108.148,108.151,97.0
2019-01-04 08:13:00,108.151,108.167,108.144,108.167,90.0
2019-01-04 08:14:00,108.167,108.193,108.167,108.192,84.0
2019-01-04 08:15:00,108.196,108.211,108.196,108.2,85.0
2019-01-04 08:16:00,108.2,108.2,108.084,108.129,127.0
2019-01-04 08:17:00,108.131,108.141,108.054,108.102,134.0
2019-01-04 08:18:00,108.102,108.111,108.102,108.108,104.0
2019-01-04 08:19:00,108.108,108.109,108.082,108.099,111.0
2019-01-04 08:20:00,108.099,108.102,108.095,108.101,84.0
2019-01-04 08:21:00,108.102,108.102,108.093,108.099,94.0
2019-01-04 08:22:00,108.099,108.139,108.099,108.133,97.0
2019-01-04 08:23:00,108.129,108.136,108.122,108.136,93.0
2019-01-04 08:24:00,108.136,108.144,108.135,108.142,57.0
2019-01-04 08:25:00,108.142,108.144,108.136,108.141,67.0
2019-01-04 08:26:00,108.14,108.145,108.136,108.136,61.0
2019-01-04 08:27:00,108.137,108.137,108.112,108.113,80.0
2019-01-04 08:28:00,108.113,108.123,108.113,108.119,72.0
2019-01-04 08:29:00,108.119,108.136,108.117,108.132,98.0
2019-01-04 08:30:00,108.132,108.147,108.13,108.137,82.0
2019-01-04 08:31:00,108.137,108.137,108.113,108.121,67.0
2019-01-04 08:32:00,108.121,108.15,108.119,108.129,83.0
2019-01-04 08:33:00,108.129,108.132,108.126,108.126,80.0
2019-01-04 08:34:00,108.126,108.131,108.12,108.12,73.0
2019-01-04 08:35:00,108.118,108.118,108.101,108.101,81.0
2019-01-04 08:36:00,108.101,108.117,108.101,108.116,79.0
2019-01-04 08:37:00,108.117,108.117,108.114,108.117,58.0
2019-01-04 08:38:00,108.117,108.124,108.117,108.119,84.0
2019-01-04 08:39:00,108.119,108.123,108.119,108.12,100.0
2019-01-04 08:40:00,108.12,108.136,108.115,108.136,113.0
2019-01-04 08:41:00,108.137,108.137,108.126,108.126,77.0
2019-01-04 08:42:00,108.126,108.127,108.125,108.125,92.0
2019-01-04 08:43:00,108.124,108.126,108.094,108.101,101.0
2019-01-04 08:44:00,108.101,108.142,108.101,108.137,98.0
2019-01-04 08:45:00,108.137,108.138,108.125,108.125,64.0
2019-01-04 08:46:00,108.125,108.132,108.125,108.126,55.0
2019-01-04 08:47:00,108.126,108.126,108.115,108.115,42.0
2019-01-04 08:48:00,108.114,108.114,108.107,108.113,62.0
2019-01-04 08:49:00,108.113,108.136,108.113,108.135,64.0
2019-01-04 08:50:00,108.135,108.135,108.126,108.126,51.0
2019-01-04 08:51:00,108.126,108.155,108.126,108.155,74.0
2019-01-04 08:52:00,108.155,108.16,108.154,108.154,89.0
2019-01-04 08:53:00,108.154,108.154,108.136,108.143,69.0
2019-01-04 08:54:00,108.143,108.16,108.142,108.16,98.0
2019-01-04 08:55:00,108.159,108.171,108.154,108.155,101.0
2019-01-04 08:56:00,108.155,108.175,108.155,108.175,107.0
2019-01-04 08:57:00,108.176,108.177,108.167,108.177,125.0
2019-01-04 08:58:00,108.177,108.183,108.176,108.177,103.0
2019-01-04 08:59:00,108.177,108.181,108.166,108.177,94.0
2019-01-04 09:00:00,108.173,108.177,108.144,108.145,110.0
